id;identification;name;state;country;address;phone;email
1;which maintainer;uh-huh for;PENDING;ECUADOR;successfully whereas even;932-739-607;Santiago_MartinezAmaya@gmail.com
2;yahoo steep atop;pfft fan hungrily;DELETED;ECUADOR;slipper um roasted;913 039 150;Yolanda.RamosCampos@yahoo.com
3;oh;how;PENDING;ECUADOR;until save cobweb;966-294-745;Martin_PichardoMaestas@gmail.com
4;meh butter;computer woot jealously;INACTIVE;ECUADOR;meh spelt effort;905-075-701;JoseMaria.BaezaQuinones3@hotmail.com
5;indeed ah ricochet;without collision;BLOCKED;ECUADOR;ha;988209271;Carlota44@gmail.com
6;amidst;failing unban instead;BLOCKED;ECUADOR;beautifully honest though;987212319;Vicente24@yahoo.com
7;sandy wherever perfect;further recite properly;BLOCKED;ECUADOR;why despite following;973.848.121;Rocio9@yahoo.com
8;disgusting subscription dog;helpful on;INACTIVE;ECUADOR;corny;987.950.352;Yolanda.GallardoEscalante72@hotmail.com
9;theme huzzah jest;whereas instead;ACTIVE;ECUADOR;reorganise decoy;965 095 689;MariaLuisa50@yahoo.com
10;apud fade arrogantly;cleat atop glance;INACTIVE;ECUADOR;subdued meanwhile;972.570.941;Luisa.EscobedoNegrete@hotmail.com
